ISO3,INFORM_RISK,Natural,Earthquake,River_Flood,Tsunami,Tropical_Cyclone,Coastal_flood,Drought,Epidemic,Human,Projected_Conflict_Probability,Current_Conflict_Intensity,Socio_Economic_Vulnerability,Development_Deprivation,Inequality,Economic_Dependency,Vulnerable_Groups,Uprooted_People,Health_Conditions,Children_U5,Recent_Shocks,Food_Security,Other_Vulnerable_Groups,Institutional,DRR,Governance,Infrastructure,Communication,Physical_Infrastructure,Access_to_Health_Care
LCA,2.5,1.9,3.5,4.4,0.0,0.0,8.0,2.6,0.5,4.7,0.0,0.0,0.0,2.3,3.5,3.1,4.6,3.2,0.9,0.0,0.0,0.9,0.0,5.1,1.8,3.7,4.5,4.5,4.5,2.8
VCT,2.7,1.8,3.3,4.8,0.0,0.0,7.8,1.8,0.5,4.1,0.0,0.0,0.0,2.5,3.3,2.0,5.2,3.9,1.7,0.0,0.2,0.8,7.3,1.8,3.2,4.2,5.6,6.9,4.3,2.4
WSM,2.9,1.7,3.1,4.4,0.0,4.2,6.3,0.0,0.5,3.6,0.0,0.0,0.0,3.8,5.8,4.5,4.5,9.6,1.0,0.0,4.8,1.0,0.0,1.5,2.0,3.8,4.2,4.3,4.0,3.3
STP,2.4,0.7,1.4,0.1,0.0,0.0,0.0,2.1,0.0,5.8,0.0,0.0,0.0,3.7,5.6,5.8,5.3,5.6,1.2,0.0,1.9,1.2,0.0,4.9,2.2,5.4,6.2,4.488188976377953,6.2,4.4
SAU,2.3,2.4,3.5,1.8,4.8,0.0,0.0,4.7,5.0,5.8,1.2,0.7,1.7,2.0,0.8,0.0,3.0,0.0,3.1,5.0,0.1,0.7,0.0,1.0,0.5,2.5,3.3,2.7,3.8,1.6
SEN,4.2,3.0,4.6,0.1,6.3,3.9,0.0,5.6,6.6,6.4,1.1,0.2,1.9,4.8,6.2,8.3,4.7,3.6,2.9,3.8,1.7,3.3,0.1,1.8,1.8,5.3,5.2,4.488188976377953,5.2,5.4
SRB,3.3,2.5,3.3,5.3,7.7,0.0,0.0,0.0,3.0,3.2,1.7,0.1,3.0,3.4,1.3,0.7,1.8,2.0,5.0,7.7,0.2,0.3,0.1,0.3,0.2,4.2,6.2,6.5,5.8,1.4
SYC,1.3,1.2,2.2,0.1,0.0,7.8,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.8,1.2,1.4,1.8,0.2,0.3,0.0,0.2,1.0,0.0,0.9,0.5,2.3,3.3,4.488188976377953,3.3,1.1
SLE,4.5,2.6,3.7,0.1,5.8,2.9,0.0,4.8,0.9,7.7,1.4,0.1,2.5,5.0,6.5,8.9,5.1,2.9,2.9,0.0,6.0,5.0,0.2,7.1,5.0,7.0,7.0,4.488188976377953,7.0,7.0
SGP,0.6,0.6,1.1,0.1,0.0,0.0,0.0,2.0,0.0,4.3,0.1,0.1,0.0,0.5,0.1,0.0,0.4,0.0,0.9,1.1,0.4,0.2,0.0,2.0,0.7,0.8,1.0,4.488188976377953,1.0,0.6
SVK,2.8,1.8,2.4,3.8,6.8,0.0,0.0,0.0,1.3,2.2,1.1,0.1,2.0,3.0,0.6,0.4,1.2,0.5,4.8,7.2,0.1,0.5,0.0,2.3,0.8,4.1,6.5,8.2,4.8,0.6
SVN,2.5,2.1,3.3,5.9,5.5,3.6,0.0,3.0,0.9,2.0,0.7,0.0,1.3,2.8,0.1,0.0,0.3,0.2,4.8,4.4,0.1,0.2,10.0,1.7,5.2,2.6,3.9,4.3,3.5,1.0
SLB,4.3,3.1,5.3,7.1,0.0,7.8,3.6,6.8,2.9,5.5,0.1,0.1,0.0,4.5,6.2,6.3,4.7,7.3,2.1,0.0,5.6,2.6,0.7,5.2,3.8,5.9,5.4,4.7,6.1,6.4
SOM,8.2,8.0,6.6,1.3,7.8,6.7,1.8,5.9,9.9,6.5,9.0,10.0,7.1,9.4,9.3,9.9,9.0,8.3,9.4,10.0,2.1,8.0,10.0,9.4,8.4,7.3,6.9,4.7,9.1,7.7
ZAF,4.2,3.4,4.0,1.5,3.2,1.1,1.3,2.9,8.8,4.5,2.8,1.7,3.7,4.3,4.1,4.3,7.4,0.4,4.4,5.8,5.1,1.9,0.1,2.8,2.7,4.9,6.1,6.4,5.7,3.3
SSD,8.3,7.0,3.9,2.7,7.7,0.0,0.0,0.0,3.7,7.5,8.8,10.0,6.5,9.0,9.1,10.0,6.3,10.0,8.8,10.0,6.0,7.6,6.2,5.2,6.3,9.2,9.5,4.488188976377953,9.5,8.9
ESP,2.6,2.3,3.9,2.9,6.4,4.6,0.0,4.9,4.4,2.6,0.4,0.1,0.6,3.2,0.4,0.0,1.4,0.1,5.2,7.9,0.2,0.2,0.1,1.0,0.4,2.4,4.0,4.488188976377953,4.0,0.5
LKA,3.3,2.8,3.9,0.1,1.9,8.0,2.2,3.3,3.2,5.1,1.6,0.5,2.6,2.6,2.9,3.2,4.1,1.1,2.2,2.6,0.3,2.2,2.6,2.0,1.8,5.0,6.5,6.7,6.2,3.0
SDN,7.7,7.9,4.1,0.1,8.7,0.0,0.0,0.8,6.0,6.2,9.6,10.0,9.0,7.2,6.0,8.5,5.1,2.0,8.1,10.0,1.4,5.6,0.4,3.2,2.9,7.9,8.4,7.9,8.8,7.2
SUR,3.1,1.9,3.4,0.1,8.6,0.0,0.0,1.5,1.3,6.1,0.1,0.1,0.0,3.0,3.5,3.8,4.4,1.8,2.5,3.3,1.1,1.4,0.0,3.5,1.6,5.1,6.5,4.488188976377953,6.5,3.4
SWE,1.9,1.8,2.6,0.1,6.3,0.0,0.0,5.8,1.3,1.4,1.0,0.0,2.0,2.7,0.3,0.0,0.9,0.2,4.5,7.0,0.1,0.2,0.0,1.5,0.5,1.4,1.9,4.488188976377953,1.9,0.8
CHE,1.8,1.3,2.3,4.6,5.9,0.0,0.0,0.0,0.9,2.2,0.1,0.0,0.2,2.9,0.4,0.0,1.2,0.2,4.8,7.4,0.1,0.3,0.0,1.2,0.4,1.5,2.4,3.4,1.3,0.5
SYR,7.5,7.9,5.0,7.2,6.3,2.3,0.0,2.1,7.8,5.5,9.4,10.0,8.5,7.7,5.9,6.7,3.5,6.7,8.9,10.0,0.5,1.6,10.0,8.2,6.9,7.0,8.7,4.488188976377953,8.7,4.0
TJK,4.0,3.6,4.8,8.1,6.6,0.0,0.0,0.0,7.6,5.2,2.2,0.9,3.4,3.6,4.4,4.8,2.9,5.0,2.8,4.0,1.4,1.7,0.0,2.6,1.5,4.8,5.6,3.8,7.3,3.8
TZA,4.8,3.3,4.2,4.4,4.2,3.1,0.7,3.3,5.0,7.0,2.3,1.6,2.9,5.5,5.8,8.2,5.3,1.5,5.1,6.1,4.5,2.8,1.2,5.8,3.8,6.2,5.7,5.4,5.9,6.6
THA,4.2,5.6,5.9,1.7,9.8,5.8,1.6,5.6,5.5,5.7,5.3,7.1,2.8,3.6,1.6,1.6,3.0,0.3,5.2,7.6,1.1,1.1,0.7,2.3,1.3,3.8,4.9,4.1,5.7,2.4
TLS,3.7,2.1,3.3,5.8,0.0,3.9,0.5,3.3,2.0,5.8,0.7,0.1,1.3,4.2,5.8,7.4,3.1,5.4,2.1,0.0,3.3,5.5,0.0,5.1,3.8,5.7,6.2,4.488188976377953,6.2,5.1
TGO,5.3,4.3,2.4,0.1,3.0,0.0,0.0,0.7,1.3,7.6,5.8,6.9,4.4,5.2,5.9,7.6,5.4,2.8,4.5,5.7,3.6,4.0,0.1,3.7,3.0,6.5,6.3,6.0,6.5,6.7
TON,3.0,2.2,3.9,7.1,0.0,5.7,5.6,0.0,0.5,4.4,0.0,0.0,0.0,2.9,4.5,2.3,3.2,10.0,0.9,0.0,2.0,0.5,0.0,4.2,1.8,4.4,5.9,6.6,5.2,2.4
TTO,3.0,2.4,3.9,5.9,0.0,0.0,5.7,2.7,2.8,6.9,0.5,0.1,0.8,3.1,1.9,1.9,3.5,0.3,4.1,6.0,0.8,1.3,0.0,3.2,1.4,3.5,5.2,4.9,5.5,1.3
TUN,3.2,3.1,4.3,5.4,3.7,5.9,0.0,6.5,3.9,3.0,1.6,0.4,2.6,2.3,2.5,2.4,2.7,2.6,2.0,3.5,0.3,0.7,0.0,0.2,0.3,4.5,5.9,4.488188976377953,5.9,2.8
TUR,5.2,6.9,5.4,9.3,6.0,5.0,0.0,4.6,2.6,5.2,8.0,8.6,7.2,4.6,1.6,0.9,4.0,0.4,6.6,8.9,0.2,0.7,4.6,1.2,1.9,4.5,6.1,4.488188976377953,6.1,2.3
TKM,2.8,2.8,4.2,3.0,8.3,0.0,0.0,4.4,4.7,5.2,1.2,0.3,2.0,1.5,1.3,1.4,2.4,0.1,1.7,2.3,0.5,1.9,0.0,1.8,1.1,5.2,6.5,5.0,7.9,3.6
TUV,2.7,1.3,2.5,0.1,0.0,5.8,0.2,0.0,4.3,4.6,0.0,0.0,0.0,3.3,4.9,3.8,3.715217391304348,7.1,1.4,0.0,4.2,1.1,0.0,4.2,2.6,4.6,6.3,6.7,5.9,2.4
UGA,5.3,3.3,3.7,3.7,3.9,0.0,0.0,0.0,6.2,7.7,2.8,2.8,2.8,6.8,6.0,8.0,5.7,2.1,7.5,8.9,5.9,2.6,0.1,8.5,5.1,6.6,6.4,5.9,6.8,6.8
UKR,5.6,8.1,3.1,1.9,6.1,0.0,0.0,5.0,2.4,3.9,10.0,10.0,10.0,5.9,2.9,1.3,1.4,7.4,7.8,10.0,1.3,0.6,0.0,2.4,1.1,3.6,5.0,3.9,6.1,1.9
